dataset,method,num_xp,CQR_FL_coverage,CQR_coverage,CQR_M_coverage,CQR_FL_length,CQR_length,CQR_M_length
bike,Random_Forest,0,93.20388349514563,93.20388349514563,96.11650485436894,0.8793311121372466,0.8720744590196244,1.0414497195586578
bike,Random_Forest,1,91.2621359223301,91.2621359223301,94.1747572815534,0.849289528584735,0.849289528584735,0.9639249183224122
bike,Random_Forest,2,87.37864077669903,86.89320388349515,95.14563106796116,0.9511753071028666,0.9354822661047473,1.1914620645099152
bike,Random_Forest,3,83.00970873786407,84.9514563106796,89.32038834951457,0.8671893182869828,0.8833056310005422,1.000206816825175
bike,Random_Forest,4,89.32038834951457,89.32038834951457,93.68932038834951,1.2474069462540032,1.2474069462540032,1.3368530673143917
bike,Random_Forest,5,91.74757281553399,91.74757281553399,96.11650485436894,0.9779890768865968,0.9779890768865968,1.1778168100148172
bike,Random_Forest,6,91.2621359223301,91.2621359223301,92.23300970873787,1.3029311365677199,1.3029311365677199,1.3785003406513978
bike,Random_Forest,7,90.29126213592234,88.3495145631068,98.05825242718447,1.0260951364493656,0.9922193419696834,1.2100989255412504
bike,Random_Forest,8,90.77669902912622,90.77669902912622,93.68932038834951,0.8863019542828351,0.8813765546128532,1.0585588398450225
bike,Random_Forest,9,89.80582524271846,89.80582524271846,95.63106796116504,1.1511971690542309,1.153946843085253,1.3812229336757493
bike,Random_Forest,10,91.74757281553399,91.2621359223301,97.57281553398059,0.8614473748009237,0.8489941478650275,1.0705120051577492
bike,Random_Forest,11,95.63106796116504,96.11650485436894,99.02912621359224,0.8581807803614383,0.8811304251947331,1.080787951217002
bike,Random_Forest,12,86.40776699029125,86.40776699029125,90.77669902912622,0.9975605645155236,0.9729009246724233,1.10663369983016
bike,Random_Forest,13,87.37864077669903,86.89320388349515,93.20388349514563,0.9005321305113124,0.8983409692491541,1.0137067593156612
bike,Random_Forest,14,88.83495145631069,88.83495145631069,93.20388349514563,1.1178710438920212,1.1340760689783345,1.271309829509865
bike,Random_Forest,15,86.40776699029125,87.86407766990291,96.11650485436894,0.8737569917676967,0.9035275566756513,1.1575029936316499
bike,Random_Forest,16,95.63106796116504,94.66019417475728,96.60194174757282,1.2862808272378903,1.2824311077099082,1.48836473021625
bike,Random_Forest,17,93.20388349514563,92.23300970873787,97.0873786407767,1.0987097982156486,1.0747101803819912,1.3200833587549357
bike,Random_Forest,18,88.83495145631069,93.20388349514563,97.57281553398059,1.0266927839521554,1.0764474981122778,1.29634971607719
bike,Random_Forest,19,93.68932038834951,92.71844660194175,96.60194174757282,0.8651118538195651,0.8557394181276387,1.0583261271997513
community,Random_Forest,0,91.22807017543859,91.22807017543859,96.49122807017544,1.354485894350438,1.354485894350438,1.9569092130644135
community,Random_Forest,1,90.97744360902256,90.47619047619048,94.9874686716792,1.5097880249275633,1.4961612738782262,1.8787418971137801
community,Random_Forest,2,92.4812030075188,91.22807017543859,96.74185463659147,1.561123012797058,1.5611229978958967,2.077092516659797
community,Random_Forest,3,91.22807017543859,90.47619047619048,96.49122807017544,1.5312724392910182,1.531272424389857,1.940240227930286
community,Random_Forest,4,85.21303258145363,85.21303258145363,93.734335839599,1.5216750966694055,1.5216748582508264,2.203306533647457
community,Random_Forest,5,92.73182957393483,92.73182957393483,98.24561403508771,1.5736790904181959,1.5736790904181959,2.442083515307509
community,Random_Forest,6,92.4812030075188,91.47869674185463,96.99248120300751,1.7724562480022605,1.6476476423852129,2.261295252894533
community,Random_Forest,7,88.7218045112782,87.96992481203007,96.2406015037594,1.4155272724057955,1.3523904202236001,1.9113506096845791
community,Random_Forest,8,92.73182957393483,92.73182957393483,98.49624060150376,1.6667487959949503,1.6667487959949503,2.1529471333844783
community,Random_Forest,9,88.7218045112782,88.47117794486216,93.98496240601504,1.4864595787642183,1.4182847316241143,2.000425439749003
community,Random_Forest,10,93.23308270676691,90.97744360902256,95.73934837092732,1.659958861540662,1.5078050488033172,1.9578053387539336
community,Random_Forest,11,89.97493734335839,88.7218045112782,95.23809523809523,1.606566972658474,1.5714811956712575,2.0578127311145464
community,Random_Forest,12,91.22807017543859,90.97744360902256,95.73934837092732,1.6885892733436505,1.674884069536228,2.175429987921042
community,Random_Forest,13,92.4812030075188,92.4812030075188,95.98997493734336,1.3984244103065466,1.3853821031339717,1.9234345715800507
community,Random_Forest,14,91.47869674185463,89.97493734335839,94.9874686716792,1.6381548536825734,1.6381543768454152,2.1983299460612082
community,Random_Forest,15,92.73182957393483,92.73182957393483,96.2406015037594,1.488231538765537,1.4882310619283787,1.970165313086276
community,Random_Forest,16,92.98245614035088,92.4812030075188,97.24310776942356,1.611787712352038,1.5296838916201163,2.277712737076691
community,Random_Forest,17,93.23308270676691,92.23057644110276,96.99248120300751,1.7044346827328893,1.687495677665354,2.3310112333537196
community,Random_Forest,18,91.72932330827066,90.72681704260651,93.98496240601504,1.6193103053704652,1.540292513673891,2.0336727719795036
community,Random_Forest,19,91.97994987468672,91.97994987468672,96.74185463659147,1.6164643182470004,1.5736987790491141,2.281356453470747
star,Random_Forest,0,89.83833718244803,89.14549653579677,94.68822170900692,0.17956362655123934,0.1755621196472278,0.2077125535402707
star,Random_Forest,1,91.45496535796767,91.91685912240185,94.68822170900692,0.18041888344153933,0.183049548750808,0.20240330461409445
star,Random_Forest,2,91.45496535796767,90.5311778290993,94.68822170900692,0.18030243144567124,0.1766422326481004,0.20447527701150725
star,Random_Forest,3,91.91685912240185,91.22401847575058,93.76443418013857,0.18402216290200235,0.18192519394448492,0.2000231388548579
star,Random_Forest,4,90.5311778290993,90.5311778290993,95.1501154734411,0.174541177906584,0.174541177906584,0.2002716850785445
star,Random_Forest,5,87.06697459584296,89.37644341801386,93.76443418013857,0.1670576264296424,0.18083613869312826,0.19909701931462115
star,Random_Forest,6,92.14780600461894,91.68591224018475,95.3810623556582,0.18168291431212674,0.17859263490233518,0.20195889243549697
star,Random_Forest,7,92.60969976905312,92.37875288683603,96.99769053117782,0.18725592771337882,0.18556542443880636,0.21479222626350625
star,Random_Forest,8,88.45265588914549,88.68360277136259,93.30254041570439,0.17811950100124904,0.18140730675833103,0.20886395413182987
star,Random_Forest,9,87.99076212471132,87.99076212471132,93.53348729792148,0.17942850866490584,0.17888617885632735,0.20443860967490796
star,Random_Forest,10,91.68591224018475,91.68591224018475,95.61200923787528,0.19100157567588996,0.1920225046066505,0.21566476541422622
star,Random_Forest,11,89.14549653579677,89.37644341801386,92.37875288683603,0.17027657032610843,0.17143486538398384,0.1885588596173292
star,Random_Forest,12,87.06697459584296,86.60508083140877,92.37875288683603,0.17746339823038357,0.1751544946079507,0.20070364898949133
star,Random_Forest,13,88.68360277136259,89.14549653579677,94.45727482678984,0.17989852928869057,0.18195455789787032,0.20293650983448552
star,Random_Forest,14,92.37875288683603,91.22401847575058,94.68822170900692,0.1844922903511005,0.17727367035903,0.20125593010983578
star,Random_Forest,15,90.76212471131639,90.5311778290993,94.91916859122402,0.18498737153926864,0.18397799302974904,0.20855288870373892
star,Random_Forest,16,91.91685912240185,90.76212471131639,94.68822170900692,0.18118635590902757,0.17571249949224826,0.20217483062456434
star,Random_Forest,17,89.37644341801386,89.14549653579677,93.53348729792148,0.17831603373786925,0.1750422411548326,0.19758470549941018
star,Random_Forest,18,90.76212471131639,90.5311778290993,95.3810623556582,0.17973026450637936,0.1775572083878369,0.20113658977207133
star,Random_Forest,19,86.14318706697459,85.68129330254041,89.83833718244803,0.17697192721059787,0.1762504792362114,0.19151899932187832
concrete,Random_Forest,0,88.83495145631069,89.80582524271846,93.68932038834951,0.5616846749061484,0.5702780621054249,0.6578022896967509
concrete,Random_Forest,1,91.74757281553399,91.74757281553399,94.1747572815534,0.5660047469562394,0.5810016760357247,0.6814323967646368
concrete,Random_Forest,2,92.23300970873787,92.23300970873787,94.66019417475728,0.5641145743072772,0.5625555590915324,0.683632032429107
concrete,Random_Forest,3,86.40776699029125,86.89320388349515,93.68932038834951,0.496445695095305,0.5028697109764655,0.6468178193071753
concrete,Random_Forest,4,90.29126213592234,90.77669902912622,94.1747572815534,0.5316116748813421,0.5453492689461615,0.6312014923282606
concrete,Random_Forest,5,88.3495145631068,88.3495145631068,94.66019417475728,0.5247287529164822,0.5397428229449066,0.7584580028278207
concrete,Random_Forest,6,90.29126213592234,90.77669902912622,96.60194174757282,0.5439737459041633,0.5561008783616815,0.69748766282374
concrete,Random_Forest,7,89.32038834951457,90.29126213592234,94.66019417475728,0.5575751823329238,0.5758516331055245,0.6514996426215572
concrete,Random_Forest,8,86.89320388349515,86.89320388349515,91.2621359223301,0.49201482764874466,0.48233523686612734,0.5565576400374289
concrete,Random_Forest,9,91.2621359223301,91.74757281553399,96.11650485436894,0.5492297341777863,0.5507366931582782,0.6462887837327382
concrete,Random_Forest,10,92.23300970873787,92.23300970873787,96.11650485436894,0.610573421951748,0.610573421951748,0.7072814912502231
concrete,Random_Forest,11,93.20388349514563,93.20388349514563,96.60194174757282,0.5783882564522261,0.573438413435091,0.6958266398910503
concrete,Random_Forest,12,92.23300970873787,91.2621359223301,92.71844660194175,0.6486813122325361,0.6260119897782248,0.6992066217291109
concrete,Random_Forest,13,88.83495145631069,89.80582524271846,94.1747572815534,0.5213632837475725,0.5298470464162057,0.6320363401266177
concrete,Random_Forest,14,93.68932038834951,93.68932038834951,98.05825242718447,0.5639585826082321,0.5646168710687949,0.6720431328979952
concrete,Random_Forest,15,89.32038834951457,85.43689320388349,92.23300970873787,0.5910318492606178,0.5312354700385947,0.6524282470437663
concrete,Random_Forest,16,90.77669902912622,90.29126213592234,95.14563106796116,0.5766734885867786,0.5733773416327339,0.6849947857240242
concrete,Random_Forest,17,95.14563106796116,95.14563106796116,96.60194174757282,0.6489425478734072,0.6489425478734072,0.7206404208639445
concrete,Random_Forest,18,92.23300970873787,92.23300970873787,95.63106796116504,0.5909572727023434,0.5859797308797763,0.6791669518530178
concrete,Random_Forest,19,88.3495145631068,86.40776699029125,90.29126213592234,0.5844948635819976,0.5510293123198934,0.6246769094291275
star,NeuralNet,0,91.22401847575058,90.99307159353349,93.53348729792148,0.2109373,0.21030214848749632,0.23736833
star,NeuralNet,1,90.5311778290993,90.30023094688222,93.99538106235565,0.17176372,0.17084914390815048,0.19973135
star,NeuralNet,2,91.91685912240185,91.68591224018475,95.3810623556582,0.17822537,0.17552887264630535,0.20669208
star,NeuralNet,3,91.68591224018475,91.68591224018475,93.99538106235565,0.17744038,0.17705469167260043,0.19184476
star,NeuralNet,4,88.2217090069284,88.2217090069284,94.22632794457274,0.17703323,0.17385678946558927,0.20515035
star,NeuralNet,5,89.37644341801386,89.37644341801386,93.76443418013857,0.15907547,0.1594657522150881,0.18317387
star,NeuralNet,6,90.99307159353349,92.60969976905312,95.84295612009238,0.18927191,0.19333397048174922,0.22498803
star,NeuralNet,7,93.76443418013857,93.76443418013857,96.76674364896074,0.19340846,0.19130894576154184,0.22637437
star,NeuralNet,8,89.60739030023095,89.14549653579677,94.22632794457274,0.17701513,0.1753402356462721,0.2078708
star,NeuralNet,9,87.75981524249423,87.99076212471132,94.68822170900692,0.13494751,0.1386979493478154,0.17521481
star,NeuralNet,10,90.5311778290993,91.22401847575058,96.30484988452656,0.17338957,0.17722690435810398,0.20822598
star,NeuralNet,11,87.52886836027713,87.29792147806005,92.60969976905312,0.1635037,0.1611223922866046,0.19710113
star,NeuralNet,12,89.14549653579677,87.99076212471132,92.14780600461894,0.16157924,0.15838860199027469,0.17914957
star,NeuralNet,13,91.91685912240185,90.06928406466513,95.3810623556582,0.17692521,0.16772668452516165,0.19324654
star,NeuralNet,14,91.22401847575058,90.30023094688222,95.84295612009238,0.16852503,0.16433862422960735,0.19274455
star,NeuralNet,15,93.0715935334873,91.45496535796767,94.45727482678984,0.17350265,0.16492959382077013,0.18956092
star,NeuralNet,16,87.75981524249423,87.75981524249423,94.22632794457274,0.16394226,0.16295807672703239,0.19318996
star,NeuralNet,17,89.83833718244803,89.83833718244803,92.8406466512702,0.16099304,0.1609930291462165,0.17681104
star,NeuralNet,18,92.60969976905312,90.30023094688222,94.91916859122402,0.16991162,0.15875626656530084,0.1852904
star,NeuralNet,19,89.60739030023095,88.2217090069284,90.99307159353349,0.16835116,0.15860829851643868,0.17828725
community,NeuralNet,0,90.47619047619048,88.97243107769424,95.23809523809523,1.7422606,1.7036212762458283,2.2449934
community,NeuralNet,1,91.72932330827066,90.72681704260651,95.98997493734336,1.7244338,1.689639231250773,2.1134727
community,NeuralNet,2,86.46616541353383,86.96741854636592,94.73684210526315,1.5126555,1.5518622877902555,2.0990334
community,NeuralNet,3,93.734335839599,92.4812030075188,95.98997493734336,1.6648091,1.5847410185444624,1.9850281
community,NeuralNet,4,88.22055137844612,87.96992481203007,95.23809523809523,1.6273025,1.5844105710660605,2.156615
community,NeuralNet,5,89.22305764411027,89.72431077694235,96.74185463659147,1.4771426,1.495954947700178,2.2914631
community,NeuralNet,6,89.72431077694235,90.22556390977444,97.24310776942356,1.5452037,1.5603275509891952,2.1810253
community,NeuralNet,7,86.46616541353383,86.46616541353383,93.48370927318295,1.5939767,1.5847351073770595,2.195653
community,NeuralNet,8,92.4812030075188,92.23057644110276,96.2406015037594,1.7294754,1.6153004340510022,2.1823225
community,NeuralNet,9,88.97243107769424,85.96491228070175,93.23308270676691,1.5875896,1.362312516921146,1.9569114
community,NeuralNet,10,91.72932330827066,91.72932330827066,95.48872180451127,1.3980882,1.4025486135542542,1.8709729
community,NeuralNet,11,92.98245614035088,89.47368421052632,94.48621553884712,1.6420789,1.4189344896260359,1.9704233
community,NeuralNet,12,93.734335839599,93.734335839599,97.24310776942356,1.1487961,1.1301287213214357,1.7780552
community,NeuralNet,13,86.96741854636592,87.71929824561403,94.48621553884712,0.8010796,0.8223537186482796,1.2763764
community,NeuralNet,14,89.47368421052632,89.47368421052632,97.4937343358396,0.77705127,0.7770512806144274,1.2938331
community,NeuralNet,15,93.48370927318295,93.23308270676691,96.2406015037594,1.3528854,1.324036390336235,1.773612
community,NeuralNet,16,90.22556390977444,89.22305764411027,95.73934837092732,1.3551773,1.296858050769433,1.9246974
community,NeuralNet,17,92.73182957393483,91.72932330827066,95.48872180451127,1.1435759,1.0494949053926277,1.6210318
community,NeuralNet,18,85.71428571428571,85.21303258145363,93.98496240601504,0.6595618,0.6419967821516788,1.0142179
community,NeuralNet,19,91.72932330827066,91.72932330827066,95.73934837092732,0.78758174,0.7865713220042991,1.1286339
bike,NeuralNet,0,87.86407766990291,87.37864077669903,95.14563106796116,1.5475283,1.5091757291873682,2.2526505
bike,NeuralNet,1,83.98058252427184,87.37864077669903,92.71844660194175,1.0871029,1.134619316339348,1.5858124
bike,NeuralNet,2,87.86407766990291,88.3495145631068,92.71844660194175,1.4171892,1.4828664615605642,2.143915
bike,NeuralNet,3,92.71844660194175,92.71844660194175,97.0873786407767,1.177022,1.212286509790467,1.9844263
bike,NeuralNet,4,90.29126213592234,90.77669902912622,96.60194174757282,0.89349896,0.9511663225813977,1.6723579
bike,NeuralNet,5,94.66019417475728,94.66019417475728,98.54368932038835,1.0781666,1.0623541809256793,2.0057545
bike,NeuralNet,6,90.77669902912622,90.77669902912622,97.0873786407767,0.9149216,0.9377895382784524,1.5286131
bike,NeuralNet,7,93.20388349514563,91.74757281553399,95.14563106796116,0.8995609,0.8398085116110381,1.1482494
bike,NeuralNet,8,89.80582524271846,89.32038834951457,95.14563106796116,1.0362387,1.0102732460041648,1.6491958
bike,NeuralNet,9,84.9514563106796,85.43689320388349,93.68932038834951,0.8894908,0.9178798086579564,1.4673896
bike,NeuralNet,10,94.66019417475728,95.14563106796116,97.57281553398059,1.0299886,1.051899195874779,1.4445635
bike,NeuralNet,11,88.3495145631068,86.89320388349515,94.66019417475728,0.72457784,0.6864473782479763,1.0252317
bike,NeuralNet,12,86.40776699029125,86.40776699029125,93.20388349514563,0.74746805,0.7329601060635257,1.0624939
bike,NeuralNet,13,90.77669902912622,90.29126213592234,97.0873786407767,0.65664583,0.6458781498475271,0.89601034
bike,NeuralNet,14,88.83495145631069,89.32038834951457,95.63106796116504,0.73129034,0.7334805924481559,1.193361
bike,NeuralNet,15,89.32038834951457,89.32038834951457,95.14563106796116,0.53979427,0.5852855696767858,0.80259037
bike,NeuralNet,16,86.40776699029125,88.83495145631069,98.54368932038835,0.7299597,0.7567186133520117,1.2792443
bike,NeuralNet,17,89.32038834951457,91.2621359223301,99.02912621359224,0.8928045,1.0665284008945075,1.9385388
bike,NeuralNet,18,89.32038834951457,88.3495145631068,95.63106796116504,0.6818852,0.6571779190336616,1.1660832
bike,NeuralNet,19,91.74757281553399,92.23300970873787,97.57281553398059,0.6460324,0.665757927211743,1.0504812
concrete,NeuralNet,0,87.86407766990291,88.3495145631068,92.71844660194175,0.4582104,0.4638715092707606,0.54630065
concrete,NeuralNet,1,84.9514563106796,85.43689320388349,92.71844660194175,0.42654634,0.4312828822622021,0.56766206
concrete,NeuralNet,2,92.23300970873787,91.2621359223301,94.66019417475728,0.4467012,0.4397229297647198,0.55198604
concrete,NeuralNet,3,88.83495145631069,88.83495145631069,95.14563106796116,0.3395442,0.33954415969478274,0.47511515
concrete,NeuralNet,4,92.23300970873787,92.23300970873787,94.66019417475728,0.4031944,0.4028965832249632,0.45307708
concrete,NeuralNet,5,89.80582524271846,90.77669902912622,96.60194174757282,0.36490646,0.39440220348464633,0.50868523
concrete,NeuralNet,6,92.71844660194175,93.20388349514563,96.60194174757282,0.32642466,0.3389078832945777,0.42436773
concrete,NeuralNet,7,86.40776699029125,88.3495145631068,90.77669902912622,0.3458975,0.3595673810799145,0.46036848
concrete,NeuralNet,8,85.43689320388349,89.80582524271846,96.60194174757282,0.25733522,0.2798508418705857,0.39381602
concrete,NeuralNet,9,90.77669902912622,91.2621359223301,96.11650485436894,0.33887646,0.34306882596710353,0.41821408
concrete,NeuralNet,10,92.71844660194175,92.71844660194175,95.63106796116504,0.32096463,0.32621674066029704,0.38385966
concrete,NeuralNet,11,92.23300970873787,92.23300970873787,96.60194174757282,0.32079655,0.3340955606652695,0.4153472
concrete,NeuralNet,12,88.3495145631068,86.89320388349515,93.68932038834951,0.3290308,0.31613590401931874,0.4021895
concrete,NeuralNet,13,92.71844660194175,92.71844660194175,94.1747572815534,0.3146583,0.3200315319508025,0.3612286
concrete,NeuralNet,14,95.14563106796116,94.66019417475728,98.54368932038835,0.37992275,0.3674023883435333,0.49921277
concrete,NeuralNet,15,90.77669902912622,91.2621359223301,98.05825242718447,0.31035948,0.31831987317904686,0.42434844
concrete,NeuralNet,16,86.40776699029125,87.86407766990291,94.66019417475728,0.33917406,0.3631162498037792,0.4346608
concrete,NeuralNet,17,92.23300970873787,92.23300970873787,96.60194174757282,0.31387103,0.31507564010550676,0.38913757
concrete,NeuralNet,18,87.86407766990291,88.3495145631068,95.63106796116504,0.292574,0.2938058858068244,0.38640654
concrete,NeuralNet,19,87.86407766990291,89.32038834951457,93.68932038834951,0.31154627,0.31590276291069475,0.43557185
community,RidgeCV,0,90.22556390977444,90.22556390977444,94.73684210526315,1.8531308113229625,1.875239300586866,2.4074739283194404
community,RidgeCV,1,90.47619047619048,90.72681704260651,94.48621553884712,1.8310631165359166,1.8349123398717242,2.334292545841641
community,RidgeCV,2,90.47619047619048,90.47619047619048,94.48621553884712,1.9654105886142097,1.9309735299967943,2.4771914769971346
community,RidgeCV,3,90.97744360902256,88.97243107769424,95.48872180451127,1.887467743494757,1.7853051075817998,2.3137172439574556
community,RidgeCV,4,89.22305764411027,89.47368421052632,94.23558897243107,1.9016422353350257,1.9527554793571358,2.5191407913144244
community,RidgeCV,5,93.48370927318295,92.4812030075188,96.49122807017544,2.24595613630992,2.0241605352803522,2.7300718655222576
community,RidgeCV,6,94.48621553884712,91.72932330827066,95.98997493734336,2.240429877123489,2.0349580363733355,2.7412963961066246
community,RidgeCV,7,86.71679197994987,84.9624060150376,92.23057644110276,1.714261422885517,1.618258061397944,2.1453759176810268
community,RidgeCV,8,91.72932330827066,90.72681704260651,94.9874686716792,1.8698097857521316,1.8069660858206622,2.422920141782459
community,RidgeCV,9,91.97994987468672,90.47619047619048,94.48621553884712,2.0462007151512305,1.839256349143355,2.3779768835665682
community,RidgeCV,10,89.72431077694235,89.72431077694235,94.48621553884712,1.7913056848995195,1.7802016133817702,2.2890995192662857
community,RidgeCV,11,90.97744360902256,89.72431077694235,92.98245614035088,2.1672531593952438,2.020453261931248,2.4799403939664018
community,RidgeCV,12,90.97744360902256,90.97744360902256,93.98496240601504,2.027023001639826,2.0227104586354856,2.559506410698281
